title,author,year,genre,openlibrary_work_key
Alice's Adventures in Wonderland,Lewis Carroll,1865,Fantasy,/works/OL138052W
The Wonderful Wizard of Oz,L. Frank Baum,1899,Fantasy,/works/OL18417W
Treasure Island,Robert Louis Stevenson,1880,Fantasy,/works/OL24034W
Gulliver's Travels,Jonathan Swift,1726,Fantasy,/works/OL20600W
A Midsummer Night's Dream,William Shakespeare,1600,Fantasy,/works/OL259010W
The Prince,Niccolò Machiavelli,1515,Fantasy,/works/OL1089297W
Through the Looking-Glass,Lewis Carroll,1865,Fantasy,/works/OL151406W
The Wind in the Willows,Kenneth Grahame,1908,Fantasy,/works/OL28570037W
Five Children and It,Edith Nesbit,1905,Fantasy,/works/OL99499W
The Princess and the Goblin,George MacDonald,1872,Fantasy,/works/OL15449W
The Lost World,Arthur Conan Doyle,1900,Fantasy,/works/OL262460W
The Marvelous Land of Oz,L. Frank Baum,1904,Fantasy,/works/OL18396W
Ozma of Oz,L. Frank Baum,1907,Fantasy,/works/OL18415W
Le petit prince,Antoine de Saint-Exupéry,1943,Fantasy,/works/OL10263W
The Emerald City of Oz,L. Frank Baum,1910,Fantasy,/works/OL18409W
Dorothy and the Wizard in Oz,L. Frank Baum,1908,Fantasy,/works/OL18412W
The Lost Princess of Oz,L. Frank Baum,1917,Fantasy,/works/OL18411W
The Story of the Amulet,Edith Nesbit,1905,Fantasy,/works/OL407476W
The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,Fantasy,/works/OL262358W
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,1889,Fantasy,/works/OL151411W
The Road to Oz,L. Frank Baum,1909,Fantasy,/works/OL262390W
Nineteen Eighty-Four,George Orwell,1949,Fantasy,/works/OL1168083W
The Sea Fairies,L. Frank Baum,1911,Fantasy,/works/OL262384W
Baum's American Fairy Tales,L. Frank Baum,1901,Fantasy,/works/OL262341W
Sky Island,L. Frank Baum,1912,Fantasy,/works/OL262385W
The Scarecrow of Oz,L. Frank Baum,1915,Fantasy,/works/OL262352W
The Patchwork Girl of Oz,L. Frank Baum,1913,Fantasy,/works/OL18405W
The Magic of Oz,L. Frank Baum,1919,Fantasy,/works/OL262380W
Tik-Tok of Oz,L. Frank Baum,1914,Fantasy,/works/OL18414W
Rinkitink in Oz,L. Frank Baum,1916,Fantasy,/works/OL262376W
The Enchanted Castle,Edith Nesbit,1907,Fantasy,/works/OL99541W
Phantastes,George MacDonald,1850,Fantasy,/works/OL15450W
The Tin Woodman of Oz,L. Frank Baum,1918,Fantasy,/works/OL262381W
The Hobbit,J.R.R. Tolkien,1937,Fantasy,/works/OL27482W
Glinda of Oz,L. Frank Baum,1920,Fantasy,/works/OL262391W
The Magic City,Edith Nesbit,1910,Fantasy,/works/OL99535W
Peter Pan,J. M. Barrie,1911,Fantasy,/works/OL462007W
The Phoenix and the Carpet,Edith Nesbit,1903,Fantasy,/works/OL99539W
Le avventure di Pinocchio,Carlo Collodi,1883,Fantasy,/works/OL1527356W
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,Fantasy,/works/OL1100007W
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,Fantasy,/works/OL82563W
"News from nowhere, or, An epoch of rest, being some chapters from a utopian romance",William Morris,1890,Fantasy,/works/OL47721W
À rebours,Joris-Karl Huysmans,1884,Fantasy,/works/OL2239396W
The Secret Agent,Joseph Conrad,1907,Fantasy,/works/OL39108W
Puck of Pook's Hill,Rudyard Kipling,1900,Fantasy,/works/OL20165W
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,Fantasy,/works/OL82537W
The Fellowship of the Ring,J.R.R. Tolkien,1954,Fantasy,/works/OL27513W
The Enchanted Island of Yew,L. Frank Baum,1903,Fantasy,/works/OL262388W
After London,Richard Jefferies,1885,Fantasy,/works/OL1176822W
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,Fantasy,/works/OL82536W
The Two Towers,J.R.R. Tolkien,1954,Fantasy,/works/OL27479W
The Return of the King,J.R.R. Tolkien,1950,Fantasy,/works/OL27455W
The Royal Book of Oz,Ruth Plumly Thompson,1921,Fantasy,/works/OL1156218W
Jurgen,James Branch Cabell,1919,Fantasy,/works/OL6585796W
The wood beyond the world,William Morris,1894,Fantasy,/works/OL47752W
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,Fantasy,/works/OL82548W
Harry Potter and the Goblet of Fire,J. K. Rowling,2000,Fantasy,/works/OL82560W
Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,Fantasy,/works/OL676009W
Sylvie and Bruno,Lewis Carroll,1889,Fantasy,/works/OL151430W
The Moon Pool,A. Merritt,1919,Fantasy,/works/OL4104767W
The reluctant dragon,Kenneth Grahame,1938,Fantasy,/works/OL69602W
The Story of Doctor Dolittle,Hugh Lofting,1920,Fantasy,/works/OL1449046W
Charlie and the Chocolate Factory,Roald Dahl,1964,Fantasy,/works/OL45790W
The Well at the World's End,William Morris,1892,Fantasy,/works/OL47750W
The water-babies: a fairy tale for a land-baby,Charles Kingsley,1863,Fantasy,/works/OL1130038W
A Princess of Mars,Edgar Rice Burroughs,1917,Fantasy,/works/OL1418187W
Cien años de soledad,Gabriel García Márquez,1967,Fantasy,/works/OL274505W
Brood of the Witch-Queen,Sax Rohmer,1924,Fantasy,/works/OL2288676W
The Horse and His Boy,C. S. Lewis,1954,Fantasy,/works/OL71058W
Fifty-one tales,Lord Dunsany,1915,Fantasy,/works/OL83881W
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,Fantasy,/works/OL82565W
"The little white bird, or, Adventures in Kensington gardens",J. M. Barrie,1902,Fantasy,/works/OL461993W
Wet Magic,Edith Nesbit,1937,Fantasy,/works/OL99513W
Peter Pan in Kensington Gardens,J. M. Barrie,1906,Fantasy,/works/OL462123W
The Magician's Nephew,C. S. Lewis,1955,Fantasy,/works/OL71042W
The Master Key,L. Frank Baum,1901,Fantasy,/works/OL262383W
"The Lion, the Witch and the Wardrobe",C. S. Lewis,1950,Fantasy,/works/OL71037W
The Voyages of Doctor Dolittle,Hugh Lofting,1922,Fantasy,/works/OL1449063W
The house of the Wolfings,William Morris,1889,Fantasy,/works/OL47670W
The Crock of Gold,James Stephens,1912,Fantasy,/works/OL1154817W
The Silmarillion,J.R.R. Tolkien,1977,Fantasy,/works/OL27495W
Charlotte's Web,E. B. White,1952,Fantasy,/works/OL483391W
James and the Giant Peach,Roald Dahl,1961,Fantasy,/works/OL45809W
Prince Caspian,C. S. Lewis,1951,Fantasy,/works/OL71069W
Northern Lights,Philip Pullman,1995,Fantasy,/works/OL28988W
Harry Potter and the Deathly Hallows,J. K. Rowling,2007,Fantasy,/works/OL82586W
The Silver Chair,C. S. Lewis,1953,Fantasy,/works/OL71078W
The BFG,Roald Dahl,1980,Fantasy,/works/OL45885W
A Game of Thrones,George R. R. Martin,1996,Fantasy,/works/OL257943W
Lost Horizon,James Hilton,1933,Fantasy,/works/OL2455093W
Where the Wild Things Are,Maurice Sendak,1963,Fantasy,/works/OL2568879W
Little Wizard stories of Oz,L. Frank Baum,1914,Fantasy,/works/OL18394W
Morning Star,H. Rider Haggard,1910,Fantasy,/works/OL17506W
Catching Fire,Suzanne Collins,2009,Fantasy,/works/OL5735360W
A strange manuscript found in a copper cylinder,James De Mille,1888,Fantasy,/works/OL96167W
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,1973,Fantasy,/works/OL2271626W
The Last Battle,C. S. Lewis,1956,Fantasy,/works/OL71124W
The house behind the cedars,Charles Waddell Chesnutt,1900,Fantasy,/works/OL112797W
The Subtle Knife,Philip Pullman,1997,Fantasy,/works/OL28993W
Bridge to Terabithia,Katherine Paterson,1972,Fantasy,/works/OL27079W
The Lightning Thief,Rick Riordan,2005,Fantasy,/works/OL492658W
The Voyage of the Dawn Treader,C. S. Lewis,1952,Fantasy,/works/OL71132W
Watership Down,Richard Adams,1972,Fantasy,/works/OL2096536W
Coraline,Neil Gaiman,2001,Fantasy,/works/OL679358W
The Gunslinger,Stephen King,1976,Fantasy,/works/OL81628W
Artemis Fowl,Eoin Colfer,1999,Fantasy,/works/OL5725956W
Figures of Earth,James Branch Cabell,1921,Fantasy,/works/OL6585787W
The Colour of Magic,Terry Pratchett,1983,Fantasy,/works/OL453657W
New Moon,Stephenie Meyer,2006,Fantasy,/works/OL5720027W
The wonderful visit,H. G. Wells,1895,Fantasy,/works/OL52201W
Eragon,Christopher Paolini,1998,Fantasy,/works/OL5819895W
The Cat in the Hat,Dr. Seuss,1957,Fantasy,/works/OL1898309W
Vikram and the Vampire,Richard Francis Burton,1870,Fantasy,/works/OL7989179W
Hänsel und Gretel,Gebrüder Grimm [Brothers Grimm],1900,Fantasy,/works/OL15227626W
A Wizard of Earthsea,Ursula K. Le Guin,1968,Fantasy,/works/OL59798W
The Amber Spyglass,Philip Pullman,1999,Fantasy,/works/OL28996W
The Mysterious Stranger,Mark Twain,1916,Fantasy,/works/OL54158W
The Magical Monarch of Mo,L. Frank Baum,1903,Fantasy,/works/OL262360W
The Once and Future King,T. H. White,1939,Fantasy,/works/OL1388028W
Prince Prigio,Andrew Lang,1889,Fantasy,/works/OL1089002W
Thumbelina,Hans Christian Andersen,1911,Fantasy,/works/OL15049906W
Dragonflight,Anne McCaffrey,1968,Fantasy,/works/OL73387W
A Clash of Kings,George R. R. Martin,1998,Fantasy,/works/OL257939W
A Prisoner in Fairyland,Algernon Blackwood,1913,Fantasy,/works/OL2700648W
The Name of the Wind,Patrick Rothfuss,2007,Fantasy,/works/OL8479867W
The demi-gods,James Stephens,1914,Fantasy,/works/OL1154815W
The Nursery Alice,Lewis Carroll,1889,Fantasy,/works/OL151381W
Indian Fairy Tales,Joseph Jacobs,1892,Fantasy,/works/OL240336W
Good Omens,Neil Gaiman,1990,Fantasy,/works/OL453936W
The Blazing World,Margaret Cavendish,2013,Fantasy,/works/OL31960339W
American Gods,Neil Gaiman,2001,Fantasy,/works/OL679360W
Eldest,Christopher Paolini,1998,Fantasy,/works/OL5819886W
The Sea of Monsters,Rick Riordan,2006,Fantasy,/works/OL492646W
"Chitty-Chitty-Bang-Bang, the magical car",Ian Fleming,1964,Fantasy,/works/OL85731W
Wizard and Glass,Stephen King,1997,Fantasy,/works/OL81615W
Doctor Doolittle's circus,Hugh Lofting,1924,Fantasy,/works/OL1449027W
A Torre Negra,Stephen King,1991,Fantasy,/works/OL81625W
Tintenherz,Cornelia Funke,2003,Fantasy,/works/OL941669W
A Feast for Crows,George R. R. Martin,2005,Fantasy,/works/OL257948W
The Eye of the World,Robert Jordan,1990,Fantasy,/works/OL7924103W
Nils Holgerssons underbara resa genom Sverige,Selma Lagerlöf,1907,Fantasy,/works/OL644990W
Don Rodriguez,Lord Dunsany,1922,Fantasy,/works/OL8199785W
The Tombs of Atuan,Ursula K. Le Guin,1971,Fantasy,/works/OL59801W
Doctor Dolittle in the moon,Hugh Lofting,1928,Fantasy,/works/OL1449084W
Le chat botté,Charles Perrault,1865,Fantasy,/works/OL23867W
"Tarzan the Invincible (Ace Classic SF, F-189)",Edgar Rice Burroughs,1931,Fantasy,/works/OL1418089W
Doctor Dolittle's post office,Hugh Lofting,1923,Fantasy,/works/OL1449087W
The Eyes of the Dragon,Stephen King,1959,Fantasy,/works/OL81602W
The Centaur,Algernon Blackwood,1911,Fantasy,/works/OL2700650W
"Life, the Universe and Everything",Douglas Adams,1900,Fantasy,/works/OL2163623W
The talisman,Stephen King,1925,Fantasy,/works/OL81599W
Night Shift,Stephen King,1960,Fantasy,/works/OL81608W
The Phantom Tollbooth,Norton Juster,1961,Fantasy,/works/OL1636262W
Artemis Fowl and the Eternity Code,Eoin Colfer,2003,Fantasy,/works/OL5725961W
The Battle of the Labyrinth,Rick Riordan,2008,Fantasy,/works/OL492640W
The Farthest Shore,Ursula K. Le Guin,1972,Fantasy,/works/OL59855W
The Titan's Curse,Rick Riordan,2007,Fantasy,/works/OL492647W
Stardust,Neil Gaiman,1997,Fantasy,/works/OL15833328W
Adela Cathcart,George MacDonald,1864,Fantasy,/works/OL15413W
Mort,Terry Pratchett,1987,Fantasy,/works/OL453658W
Everything's Eventual. 14 Dark Tales,Stephen King,2002,Fantasy,/works/OL81584W
Something Wicked This Way Comes,Ray Bradbury,1962,Fantasy,/works/OL103194W
The Black Cauldron,Lloyd Alexander,1965,Fantasy,/works/OL1966566W
The Chronicles of Narnia,C. S. Lewis,1970,Fantasy,/works/OL70988W
The Light Fantastic,Terry Pratchett,1986,Fantasy,/works/OL453680W
A thin ghost and others,Montague Rhodes James,1919,Fantasy,/works/OL707922W
Redwall,Brian Jacques,1986,Fantasy,/works/OL465952W
Yu-Gi-Oh!,Kazuki Takahashi,1997,Fantasy,/works/OL8400840W
Dinosaurs Before Dark,Mary Pope Osborne,1992,Fantasy,/works/OL81773W
The dark is rising,Susan Cooper,1972,Fantasy,/works/OL894245W
Black house,Stephen King,2001,Fantasy,/works/OL81596W
The Enchanted Typewriter,John Kendrick Bangs,1899,Fantasy,/works/OL1868687W
The Last Olympian,Rick Riordan,2009,Fantasy,/works/OL492642W
Mary Poppins,Pamela L. Travers,1934,Fantasy,/works/OL262141W
Die unendliche Geschichte,Michael Ende,1979,Fantasy,/works/OL2271589W
Guards! Guards!,Terry Pratchett,1989,Fantasy,/works/OL453735W
Rose Madder,Stephen King,1995,Fantasy,/works/OL81614W
Tom's Midnight Garden,Philippa Pearce,1958,Fantasy,/works/OL2004807W
A Storm of Swords,George R. R. Martin,2000,Fantasy,/works/OL257914W
Dragonquest,Anne McCaffrey,1971,Fantasy,/works/OL73382W
Doctor Dolittle's garden,Hugh Lofting,1927,Fantasy,/works/OL1449080W
The Regulators,Stephen King,1996,Fantasy,/works/OL2794726W
Farmer Giles of Ham,J.R.R. Tolkien,1949,Fantasy,/works/OL27517W
Trollkarlens hatt,Tove Jansson,1950,Fantasy,/works/OL2195990W
Wicked,Gregory Maguire,1995,Fantasy,/works/OL66218W
La Petite Sirene (French Well Loved Tales),Hans Christian Andersen,1935,Fantasy,/works/OL15049633W
Mostly Harmless,Douglas Adams,1991,Fantasy,/works/OL2163638W
The Lost Hero,Rick Riordan,2010,Fantasy,/works/OL15401200W
The Book Of Three,Lloyd Alexander,1964,Fantasy,/works/OL270887W
Equal Rites,Terry Pratchett,1987,Fantasy,/works/OL453670W
Brisingr,Christopher Paolini,1998,Fantasy,/works/OL5819884W
Tale of Despereaux,Kate DiCamillo,2003,Fantasy,/works/OL468677W
Wizard's First Rule,Terry Goodkind,1994,Fantasy,/works/OL2010436W
Wintersmith,Terry Pratchett,2006,Fantasy,/works/OL453989W
Small Gods,Terry Pratchett,1992,Fantasy,/works/OL453697W
Corduroy,Don Freeman,1968,Fantasy,/works/OL4114525W
Flat Stanley,Jeff Brown,1964,Fantasy,/works/OL15891846W
Jonathan Strange and Mr. Norrell,Susanna Clarke,2001,Fantasy,/works/OL5703422W
"Over Sea, Under Stone (The Dark Is Rising #1)",Susan Cooper,1965,Fantasy,/works/OL894247W
Artemis Fowl and the Arctic Incident,Eoin Colfer,2001,Fantasy,/works/OL5725964W
Alice's Adventures in Wonderland,Lewis Carroll,1865,Science fiction,/works/OL138052W
Frankenstein or The Modern Prometheus,Mary Shelley,1818,Science fiction,/works/OL450063W
The Wonderful Wizard of Oz,L. Frank Baum,1899,Science fiction,/works/OL18417W
The Time Machine,H. G. Wells,1895,Science fiction,/works/OL52267W
The Lost World,Arthur Conan Doyle,1900,Science fiction,/works/OL262460W
Dracula,Bram Stoker,1897,Science fiction,/works/OL85892W
Brave New World,Aldous Huxley,1932,Science fiction,/works/OL64365W
The Jewel of Seven Stars,Bram Stoker,1902,Science fiction,/works/OL85891W
The Iron Heel,Jack London,1907,Science fiction,/works/OL74502W
Flatland,Edwin Abbott Abbott,1884,Science fiction,/works/OL118388W
The Invisible Man,H. G. Wells,0,Science fiction,/works/OL52266W
Nineteen Eighty-Four,George Orwell,1949,Science fiction,/works/OL1168083W
The Princess and Curdie,George MacDonald,1832,Science fiction,/works/OL15448W
The War of the Worlds,H. G. Wells,0,Science fiction,/works/OL52114W
The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,Science fiction,/works/OL76473W
The Last Man,Mary Shelley,1826,Science fiction,/works/OL450124W
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,Science fiction,/works/OL1100007W
Vingt mille lieues sous les mers,Jules Verne,1870,Science fiction,/works/OL1099280W
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1875,Science fiction,/works/OL24156W
"News from nowhere, or, An epoch of rest, being some chapters from a utopian romance",William Morris,1890,Science fiction,/works/OL47721W
The Poison Belt,Arthur Conan Doyle,1913,Science fiction,/works/OL262596W
The Secret Agent,Joseph Conrad,1907,Science fiction,/works/OL39108W
The Machine Stops,E. M. Forster,1909,Science fiction,/works/OL88800W
The Island of Dr. Moreau,H. G. Wells,1896,Science fiction,/works/OL381550W
